ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
8.9318,17.2734,-5.4268,-5.4268
8.9379,17.4168,-5.4878,-5.4878
8.9454,17.4429,-5.4878,-5.4878
8.9534,17.3387,-5.4878,-5.4878
8.9620,17.5112,-5.3049,-5.3049
8.9716,17.4083,-5.4268,-5.4268
8.9798,17.3217,-5.4878,-5.4878
8.9877,17.4207,-5.4878,-5.4878
8.9963,17.3059,-5.4878,-5.4878
9.0045,17.2730,-5.4268,-5.4268
9.0123,17.1946,-5.4268,-5.4268
9.0187,17.3404,-5.4878,-5.4878
9.0257,17.3382,-5.4878,-5.4878
9.0324,17.3208,-5.4878,-5.4878
9.0390,17.3250,-5.4268,-5.4268
9.0455,17.1357,-5.4268,-5.4268
9.0525,17.3156,-5.3659,-5.3659
9.0587,17.2349,-5.4878,-5.4878
9.0646,17.2160,-5.4878,-5.4878
9.0701,17.4372,-5.4268,-5.4268
9.0780,17.2914,-5.4878,-5.4878
9.0841,17.5248,-5.4878,-5.4878
9.0910,17.5030,-5.4878,-5.4878
9.0982,17.5159,-5.4268,-5.4268
9.1052,17.5025,-5.4878,-5.4878
9.1120,17.3890,-5.4878,-5.4878
9.1197,17.1075,-5.3659,-5.3659
9.1267,17.5205,-5.3659,-5.3659
9.1351,17.4792,-5.3659,-5.3659
9.1412,17.4897,-5.5488,-5.5488
9.1477,17.1558,-5.4268,-5.4268
9.1522,17.2262,-5.4878,-5.4878
9.1590,17.2629,-5.4268,-5.4268
9.1645,17.5105,-5.4268,-5.4268
9.1712,17.5295,-5.5488,-5.5488
9.1776,17.2655,-5.4878,-5.4878
9.1828,17.2386,-5.4878,-5.4878
9.1887,17.3921,-5.3659,-5.3659
9.1953,17.3813,-5.4268,-5.4268
9.2014,17.4374,-5.4878,-5.4878
9.2075,17.2115,-5.3659,-5.3659
9.2131,17.4229,-5.4878,-5.4878
9.2193,17.3104,-5.4268,-5.4268
9.2244,17.3630,-5.5488,-5.5488
9.2310,17.1149,-5.4878,-5.4878
9.2358,17.4070,-5.4268,-5.4268
9.2427,17.3778,-5.4878,-5.4878
9.2490,17.2137,-5.4268,-5.4268
9.2540,17.5859,-5.4268,-5.4268
9.2603,17.3204,-5.4268,-5.4268
9.2661,17.2622,-5.4268,-5.4268
9.2713,17.1917,-5.4878,-5.4878
9.2755,17.4655,-5.4878,-5.4878
9.2805,17.2773,-5.5488,-5.5488
9.2856,17.2818,-5.4268,-5.4268
9.2919,17.2695,-5.4268,-5.4268
9.2975,17.4886,-5.4268,-5.4268
9.3035,17.3144,-5.4878,-5.4878
9.3082,17.4408,-5.4878,-5.4878
9.3145,17.3489,-5.4268,-5.4268
9.3206,17.3800,-5.4268,-5.4268
9.3264,17.3160,-5.3659,-5.3659
9.3314,17.4821,-5.4878,-5.4878
9.3372,17.3120,-5.4878,-5.4878
9.3415,17.3994,-5.4268,-5.4268
9.3462,17.3523,-5.4878,-5.4878
9.3506,17.4347,-5.4268,-5.4268
9.3555,17.2145,-5.4268,-5.4268
9.3592,17.4283,-5.4878,-5.4878
9.3645,17.3767,-5.5488,-5.5488
9.3691,17.1217,-5.4878,-5.4878
9.3738,17.3032,-5.3659,-5.3659
9.3795,17.1901,-5.3049,-5.3049
9.3842,17.2332,-5.4878,-5.4878
9.3872,17.2605,-5.5488,-5.5488
9.3918,17.2570,-5.4268,-5.4268
9.3962,17.2738,-5.3659,-5.3659
9.4015,17.3323,-5.4268,-5.4268
9.4060,17.3532,-5.4878,-5.4878
9.4104,17.2480,-5.4878,-5.4878
9.4134,17.4610,-5.4878,-5.4878
9.4188,17.2854,-5.4268,-5.4268
9.4232,17.2847,-5.4268,-5.4268
9.4265,17.4628,-5.4878,-5.4878
9.4303,17.4885,-5.4878,-5.4878
9.4355,17.2370,-5.3659,-5.3659
9.4395,17.3519,-5.4268,-5.4268
9.4442,17.5824,-5.4878,-5.4878
9.4486,17.2995,-5.4878,-5.4878
9.4513,17.4074,-5.6098,-5.6098
9.4561,17.3493,-5.3659,-5.3659
9.4606,17.2906,-5.4268,-5.4268
9.4638,17.2619,-5.5488,-5.5488
9.4678,17.3720,-5.4268,-5.4268
9.4716,17.2323,-5.4268,-5.4268
9.4751,17.3288,-5.4268,-5.4268
9.4791,17.6790,-5.4268,-5.4268
9.4837,17.3420,-5.5488,-5.5488
9.4871,17.3255,-5.4268,-5.4268
9.4911,17.3749,-5.4268,-5.4268
9.4962,17.4019,-5.3659,-5.3659
9.4989,17.2857,-5.5488,-5.5488
9.5024,17.0765,-5.4268,-5.4268
9.5051,17.0876,-5.4878,-5.4878
9.5077,17.5346,-5.4268,-5.4268
9.5118,17.4367,-5.5488,-5.5488
9.5157,17.3451,-5.4878,-5.4878
9.5188,17.3151,-5.4878,-5.4878
9.5221,17.5159,-5.4268,-5.4268
9.5269,17.3957,-5.4878,-5.4878
9.5302,17.2238,-5.4878,-5.4878
9.5336,17.4765,-5.4878,-5.4878
9.5381,17.3123,-5.4878,-5.4878
9.5422,17.1734,-5.3659,-5.3659
9.5451,17.4493,-5.4878,-5.4878
9.5493,17.5036,-5.4268,-5.4268
9.5537,17.2488,-5.4878,-5.4878
9.5573,17.1462,-5.4268,-5.4268
9.5609,17.3673,-5.4268,-5.4268
9.5654,17.2721,-5.4268,-5.4268
9.5683,17.3224,-5.5488,-5.5488
9.5709,17.1346,-5.5488,-5.5488
9.5736,17.2600,-5.4268,-5.4268
9.5775,17.4291,-5.4268,-5.4268
9.5808,17.3890,-5.4878,-5.4878
9.5843,17.3694,-5.5488,-5.5488
9.5871,17.0718,-5.4268,-5.4268
9.5896,17.3887,-5.4268,-5.4268
9.5931,17.2088,-5.3049,-5.3049
